id	modularity_class
3	0
10000080	0
10000719	7
10000949	6
5	0
10000287	0
10000462	0
10001114	0
8	3
10000005	6
10000047	0
10000056	3
10000060	3
10000092	3
10000143	1
10000152	1
10000192	6
10000244	0
10000270	0
10000285	3
10000297	3
10000369	3
10000436	3
10000449	1
10000451	3
10000454	7
10000458	4
10000460	3
10000464	1
10000475	1
10000488	3
10000538	3
10000543	1
10000565	2
10000614	3
10000616	6
10000633	6
10000648	0
10000660	7
10000690	3
10000760	3
10000765	7
10000770	3
10000777	1
10000821	6
10000830	3
10000836	3
10000864	3
10000884	1
10000885	0
10000904	4
10000919	3
10000924	6
10000936	7
10000958	2
10000975	7
10000981	3
10000987	6
10000996	3
10001016	2
10001022	1
10001023	3
10001025	4
10001026	0
10001029	0
10001042	3
10001051	3
10001061	7
10001133	1
10001134	3
10001144	3
10001176	4
10001178	1
10001191	3
10001229	3
10001241	3
9	3
10000000	6
10000024	3
10000033	4
10000058	4
10000074	3
10000093	6
10000114	4
10000141	3
10000156	6
10000158	3
10000167	4
10000170	4
10000187	3
10000203	3
10000226	3
10000233	3
10000239	3
10000269	0
10000288	6
10000305	7
10000334	3
10000373	3
10000388	6
10000394	6
10000401	7
10000411	1
10000413	7
10000423	3
10000426	6
10000429	3
10000433	3
10000434	4
10000441	5
10000448	3
10000453	3
10000472	3
10000508	1
10000515	3
10000518	3
10000539	3
10000541	3
10000586	3
10000589	3
10000604	3
10000618	6
10000637	3
10000639	1
10000704	3
10000720	3
10000746	3
10000787	3
10000794	3
10000800	3
10000802	7
10000832	3
10000843	3
10000847	4
10000857	3
10000858	3
10000897	3
10000942	3
10000959	3
10000969	6
10000988	3
10000992	3
10001041	6
10001050	4
10001076	3
10001078	3
10001087	6
10001093	6
10001113	3
10001116	3
10001136	3
10001147	3
10001168	3
10001170	6
10001172	1
10001188	3
10001227	6
10001238	6
10001245	0
11	1
10000853	6
10001019	6
12	4
16	3
10000196	3
10000249	6
10000276	0
10000296	1
10000350	4
10000372	6
10000602	6
10000628	6
10000630	3
10000659	3
10000665	2
10000799	0
10000805	3
10001200	1
10001223	0
10001247	3
19	0
10000137	0
10000726	0
22	6
10000784	6
25	3
10000087	3
10000123	3
10000216	3
10000347	3
10000351	3
10000443	3
10000501	3
10000527	3
10000554	7
10000556	6
10000642	3
10000669	3
10000855	3
10000890	6
10001004	6
10001120	6
10001215	3
26	3
10000569	6
10000725	3
10000806	3
10000983	6
10001109	1
10001137	2
28	1
30	5
10000146	5
10000292	5
10000395	3
10000408	6
10000598	6
10000845	6
10000891	0
10000955	6
31	0
33	4
10000023	4
10000108	4
10000317	6
10000688	6
10000796	6
10001068	7
10001159	6
10001208	6
34	7
35	0
10000127	6
10001128	1
37	0
10001179	6
38	0
39	0
40	0
43	1
45	0
10000098	6
10000265	1
10000420	6
10000766	6
10000874	6
10000943	6
48	0
49	0
50	2
10000079	6
10000851	7
10001158	7
51	5
10000384	4
10000876	4
52	4
53	1
54	0
55	4
10000059	4
10000366	7
10000872	7
56	0
10000605	6
10001086	6
10001236	6
59	0
10000657	5
60	3
63	5
66	0
67	0
72	6
10000015	6
10000030	6
10000067	1
10000096	3
10000116	6
10000129	6
10000135	2
10000174	6
10000175	6
10000189	6
10000227	6
10000232	1
10000254	1
10000284	6
10000307	6
10000315	6
10000318	6
10000337	1
10000339	6
10000340	6
10000365	6
10000409	6
10000421	6
10000490	1
10000510	6
10000511	6
10000601	1
10000656	6
10000663	6
10000679	6
10000695	6
10000786	6
10000804	1
10000808	6
10000820	6
10000834	7
10000849	6
10000868	4
10000879	1
10000888	6
10000914	6
10000944	6
10001105	1
10001151	5
10001153	5
10001197	6
10001206	6
10001239	0
10001242	6
73	1
10000105	6
10000245	6
10000964	3
10001001	6
76	4
10000612	3
10000829	4
10000934	3
10001201	5
79	0
80	6
10000091	6
10000644	6
10000710	3
10000789	3
10000813	6
10000815	6
10000825	6
10000883	6
10000953	6
10000977	7
10001111	6
10001138	6
10001220	6
82	0
84	0
86	4
88	2
89	6
10000165	6
10000319	3
10000474	6
10000645	1
10000683	6
10000730	3
10000907	1
10001234	6
91	3
92	0
10001031	0
96	1
10000986	1
97	0
99	0
10000625	1
100	3
10000008	1
10000134	1
10000354	3
10000439	1
10000980	3
10001103	3
10001235	1
104	0
105	0
106	1
10000512	3
110	0
113	0
114	1
115	0
120	1
10000140	6
10000363	7
121	1
10000122	1
10000779	7
122	0
123	0
10000793	6
128	1
129	1
10000136	1
10000181	1
10000503	6
130	1
10000084	1
10000278	1
10000567	3
10001008	6
10001132	6
134	6
135	0
136	1
10000358	1
139	6
10000053	1
10000061	6
10000169	3
10000179	3
10000246	6
10000294	3
10000301	6
10000310	0
10000324	7
10000389	6
10000397	6
10000399	6
10000424	1
10000491	6
10000532	1
10000552	3
10000563	1
10000578	6
10000595	7
10000620	6
10000643	1
10000717	6
10000774	3
10000780	6
10000791	1
10000844	6
10000865	3
10000896	3
10000930	6
10001000	6
10001065	6
10001069	1
10001106	6
10001126	1
