id	modularity_class
3	3
10000080	0
10000719	6
10000949	3
5	1
10000287	1
10000462	1
10001114	1
8	5
10000005	0
10000047	0
10000056	5
10000060	5
10000092	5
10000143	6
10000152	6
10000192	2
10000244	3
10000270	1
10000285	5
10000297	5
10000369	5
10000436	5
10000449	3
10000451	5
10000454	2
10000458	2
10000460	5
10000464	6
10000475	5
10000488	5
10000538	5
10000543	3
10000565	3
10000614	5
10000616	0
10000633	2
10000648	1
10000660	2
10000690	5
10000760	5
10000765	2
10000770	5
10000777	3
10000821	0
10000830	5
10000836	5
10000864	5
10000884	3
10000885	1
10000904	3
10000919	5
10000924	1
10000936	2
10000958	3
10000975	2
10000981	1
10000987	2
10000996	5
10001016	5
10001022	3
10001023	5
10001025	2
10001026	1
10001029	1
10001042	5
10001051	5
10001061	2
10001133	3
10001134	5
10001144	5
10001176	0
10001178	3
10001191	5
10001229	5
10001241	5
9	5
10000000	0
10000024	5
10000033	2
10000058	4
10000074	5
10000093	1
10000114	2
10000141	5
10000156	2
10000158	5
10000167	4
10000170	2
10000187	5
10000203	5
10000226	5
10000233	5
10000239	5
10000269	1
10000288	2
10000305	2
10000334	5
10000373	5
10000388	2
10000394	5
10000401	2
10000411	3
10000413	2
10000423	5
10000426	2
10000429	5
10000433	5
10000434	5
10000441	0
10000448	5
10000453	5
10000472	5
10000508	3
10000515	5
10000518	1
10000539	5
10000541	5
10000586	5
10000589	5
10000604	5
10000618	2
10000637	5
10000639	3
10000704	5
10000720	5
10000746	5
10000787	5
10000794	5
10000800	5
10000802	2
10000832	5
10000843	5
10000847	2
10000857	5
10000858	5
10000897	5
10000942	5
10000959	5
10000969	4
10000988	5
10000992	1
10001041	2
10001050	2
10001076	5
10001078	5
10001087	2
10001093	6
10001113	5
10001116	5
10001136	5
10001147	5
10001168	5
10001170	2
10001172	3
10001188	5
10001227	5
10001238	6
10001245	1
11	3
10000853	3
10001019	0
12	2
16	5
10000196	5
10000249	2
10000276	1
10000296	3
10000350	6
10000372	0
10000602	3
10000628	2
10000630	5
10000659	5
10000665	3
10000799	1
10000805	5
10001200	0
10001223	1
10001247	5
19	1
10000137	1
10000726	1
22	3
10000784	3
25	5
10000087	5
10000123	5
10000216	5
10000347	5
10000351	5
10000443	5
10000501	5
10000527	5
10000554	2
10000556	3
10000642	5
10000669	5
10000855	5
10000890	3
10001004	3
10001120	3
10001215	5
26	5
10000569	3
10000725	5
10000806	5
10000983	4
10001109	3
10001137	3
28	3
30	0
10000146	0
10000292	0
10000395	5
10000408	3
10000598	2
10000845	2
10000891	1
10000955	0
31	1
33	6
10000023	0
10000108	6
10000317	2
10000688	6
10000796	6
10001068	6
10001159	2
10001208	0
34	2
35	0
10000127	3
10001128	6
37	1
10001179	0
38	1
39	0
40	1
43	3
45	1
10000098	5
10000265	3
10000420	6
10000766	0
10000874	0
10000943	1
48	0
49	0
50	3
10000079	0
10000851	2
10001158	2
51	0
10000384	6
10000876	6
52	3
53	3
54	1
55	3
10000059	5
10000366	0
10000872	2
56	4
10000605	0
10001086	0
10001236	0
59	1
10000657	0
60	5
63	0
66	1
67	1
72	1
10000015	2
10000030	0
10000067	6
10000096	5
10000116	0
10000129	6
10000135	3
10000174	0
10000175	5
10000189	5
10000227	0
10000232	3
10000254	6
10000284	0
10000307	0
10000315	0
10000318	2
10000337	6
10000339	3
10000340	3
10000365	5
10000409	0
10000421	0
10000490	0
10000510	5
10000511	0
10000601	3
10000656	0
10000663	0
10000679	2
10000695	5
10000786	0
10000804	6
10000808	3
10000820	3
10000834	6
10000849	2
10000868	1
10000879	6
10000888	5
10000914	6
10000944	2
10001105	3
10001151	0
10001153	0
