id	modularity_class
8	0
16	0
19	0
25	0
28	0
30	0
31	0
33	0
35	0
38	0
39	0
49	0
50	0
51	0
52	0
56	0
72	0
73	0
76	0
80	1
84	0
89	0
92	0
96	0
99	0
100	0
104	0
106	0
113	0
114	0
115	0
120	0
122	0
123	0
128	0
136	0
145	0
152	0
157	0
166	0
172	0
180	0
187	0
195	0
196	0
205	0
215	0
221	0
232	0
242	0
256	0
264	0
271	0
274	0
299	0
312	0
313	0
317	0
333	0
360	0
367	0
400	0
409	0
413	0
536	0
575	0
583	0
589	0
622	0
642	0
660	0
688	0
702	9
705	0
706	0
752	0
822	0
823	0
857	0
870	0
875	0
923	0
1069	0
1086	0
1154	0
1277	0
1295	0
1424	0
1457	0
1543	0
1650	0
1714	0
1828	0
1837	0
2048	0
2263	0
2370	0
2450	0
2538	0
2569	0
2612	0
2720	0
3036	0
3041	0
3195	0
3212	0
3467	0
3547	12
3783	0
4058	0
4253	15
4314	0
4603	0
4880	0
4934	0
5189	0
5203	0
5211	0
5952	0
6490	0
6509	9
7012	0
7635	0
7676	9
7933	9
8269	0
8297	0
8508	12
9003	9
9754	0
10513	0
11258	0
11667	15
11998	6
12507	0
12642	0
12715	0
12802	0
12952	9
13147	0
14972	9
16467	9
16497	0
16500	0
17556	0
17751	9
18432	0
18880	9
19379	0
19603	0
20321	0
21855	8
23350	0
23983	0
26944	0
28514	0
29507	9
29672	19
29966	6
29976	0
30953	9
32016	0
32940	0
37122	9
37293	0
38779	0
39174	9
39492	0
39599	9
39722	9
39930	0
40108	0
41434	0
42912	9
43179	9
45296	9
48510	9
52394	0
53268	9
55074	0
58529	1
60810	9
62839	9
66585	0
72030	0
75450	0
83966	1
84164	1
84942	12
85039	1
86013	0
88497	0
90313	9
92415	1
96577	1
98199	1
104171	1
114917	0
117203	0
128641	8
144542	0
149436	1
152568	1
159661	1
175024	0
198697	1
203547	1
221272	0
37	0
66	0
86	0
165	0
177	0
198	0
249	0
263	0
512	0
1770	0
2199	9
5105	0
11619	0
12165	0
34262	0
53008	0
54050	9
59304	9
146393	1
165855	0
170039	1
174221	9
190287	0
200622	0
825	0
3148	0
6179	29
6312	9
12042	9
20413	0
147810	1
54	0
79	0
97	0
105	0
4284	0
17349	0
74105	0
176	0
233	0
297	0
331	0
448	0
630	0
699	0
1175	0
1312	0
3163	0
4280	1
4414	0
5959	0
8512	0
9176	9
10927	0
11753	0
12151	0
13130	0
14120	0
14890	0
14932	0
22437	0
25554	8
30711	15
83827	0
119110	0
150001	15
159653	0
237596	0
237900	0
121	0
160	0
171	0
173	0
191	0
219	0
247	0
251	0
272	0
295	0
314	0
327	0
423	0
467	0
498	0
505	0
586	0
666	0
774	0
917	0
930	0
1369	0
1585	9
2317	0
2344	0
3305	0
7011	0
7681	0
9901	0
9921	0
10657	0
11260	19
15500	1
17976	9
31475	34
85161	0
87543	9
105963	0
123641	0
141912	0
160823	12
170600	0
152976	1
153899	1
154237	1
155436	1
155509	1
157927	1
159761	0
160775	1
165000	1
166201	1
166967	1
169605	1
169838	1
219577	1
233789	1
34	0
144	0
226	0
227	0
346	0
506	0
619	0
832	0
851	0
1195	0
1417	0
1919	0
2109	0
4057	0
4743	0
5191	0
6582	0
10689	0
11847	0
16339	0
17142	0
28900	9
33337	1
34267	0
34869	15
36580	12
52488	9
74222	0
80097	9
80863	0
45	0
67	0
82	0
129	0
207	0
209	0
211	0
298	0
334	0
441	1
442	0
446	0
496	0
763	0
785	0
871	0
