,QuestionId,AcceptedAnswerUserId,AnswerCreationDate,UsersSorted,UsersJaccard
0,5.0,45.0,2010-07-20 19:21:52.240,"[45.0, 1102.0, 48.0, 226.0, 242.0]","{48.0: 0.5714285714285714, 242.0: 0.013513513513513514, 226.0: 0.030534351145038167, 45.0: 0.18181818181818182, 1102.0: 0.020618556701030927}"
1,1.0,8.0,2010-07-20 19:22:20.193,"[8.0, 49.0, 25.0, 35.0, 39.0]","{8.0: 0.042253521126760563, 49.0: 0.59999999999999998, 35.0: 0.11538461538461539, 39.0: 1.0, 25.0: 0.076923076923076927}"
2,8.0,38.0,2010-07-20 19:23:54.230,"[38.0, 173.0, 334.0, 53.0, 55.0]","{55.0: 0.44444444444444442, 334.0: 0.078431372549019607, 173.0: 0.030303030303030304, 38.0: 0.36363636363636365, 53.0: 1.0}"
3,2.0,34.0,2010-07-20 19:24:52.200,"[34.0, 56.0, 35.0, 190287.0, 72.0]","{56.0: 0.071428571428571425, 72.0: 0.020689655172413793, 34.0: 1.0, 35.0: 0.11538461538461539, 190287.0: 0.20000000000000001}"
4,20.0,38.0,2010-07-20 19:32:21.590,"[38.0, 72.0, 232.0, 51.0, 210.0]","{72.0: 0.020689655172413793, 232.0: 0.0061224489795918364, 210.0: 0.1875, 51.0: 0.11538461538461539, 38.0: 0.27272727272727271}"
5,11.0,8.0,2010-07-20 19:38:21.590,"[8.0, 3.0, 52.0, 72.0, 99.0]","{8.0: 0.028169014084507043, 72.0: 0.013793103448275862, 3.0: 0.66666666666666663, 52.0: 0.2857142857142857, 99.0: 0.0625}"
6,22.0,16.0,2010-07-20 19:40:39.277,"[16.0, 251.0, 72.0, 18954.0, 217967.0]","{16.0: 0.068965517241379309, 72.0: 0.027586206896551724, 18954.0: 0.5, 251.0: 0.14814814814814814, 217967.0: 0.5}"
7,58.0,35.0,2010-07-20 19:51:24.680,"[35.0, 2370.0, 263.0, 249.0, 196.0]","{249.0: 0.14814814814814814, 2370.0: 0.025974025974025976, 35.0: 0.15384615384615385, 196.0: 0.11764705882352941, 263.0: 0.1111111111111111}"
8,71.0,35.0,2010-07-20 19:57:51.043,"[35.0, 99.0, 80.0, 66.0, 11619.0]","{99.0: 0.15625, 80.0: 0.089285714285714288, 66.0: 0.83333333333333337, 35.0: 0.19230769230769232, 11619.0: 0.015384615384615385}"
9,75.0,16.0,2010-07-20 19:58:48.127,"[16.0, 25.0, 536.0, 25554.0, 185123.0]","{16.0: 0.034482758620689655, 25.0: 0.05128205128205128, 25554.0: 0.0068493150684931503, 185123.0: 1.0, 536.0: 0.014388489208633094}"
10,77.0,51.0,2010-07-20 20:05:31.633,"[51.0, 11.0, 381.0, 6050.0, 76609.0]","{11.0: 0.16666666666666666, 76609.0: 1.0, 6050.0: 0.5, 51.0: 0.038461538461538464, 381.0: 1.0}"
11,83.0,50.0,2010-07-20 20:10:38.563,"[50.0, 76.0, 121.0, 99.0, 536.0]","{536.0: 0.014388489208633094, 121.0: 0.071428571428571425, 50.0: 0.090909090909090912, 99.0: 0.0625, 76.0: 0.064516129032258063}"
12,120.0,51.0,2010-07-20 21:11:24.393,"[51.0, 122.0, 8.0, 89.0, 242.0]","{8.0: 0.042253521126760563, 89.0: 0.037499999999999999, 122.0: 0.17647058823529413, 51.0: 0.11538461538461539, 242.0: 0.010135135135135136}"
13,118.0,51.0,2010-07-20 21:19:03.680,"[51.0, 195.0, 8.0, 106.0, 104.0]","{8.0: 0.028169014084507043, 104.0: 1.0, 106.0: 0.20000000000000001, 51.0: 0.076923076923076927, 195.0: 0.33333333333333331}"
14,113.0,30.0,2010-07-20 21:25:30.033,"[30.0, 34930.0, 19.0, 53846.0, 70534.0]","{70534.0: 1.0, 34930.0: 0.017964071856287425, 19.0: 0.25, 53846.0: 0.052631578947368418, 30.0: 0.088235294117647065}"
15,57.0,106.0,2010-07-20 21:34:01.537,"[106.0, 8.0, 157.0, 172.0, 50.0]","{8.0: 0.042253521126760563, 106.0: 0.29999999999999999, 50.0: 0.13636363636363635, 172.0: 0.1111111111111111, 157.0: 0.42857142857142855}"
16,135.0,113.0,2010-07-20 21:38:34.720,"[113.0, 8.0, 80.0, 96.0, 51.0]","{8.0: 0.028169014084507043, 113.0: 0.25, 51.0: 0.076923076923076927, 80.0: 0.035714285714285712, 96.0: 0.052631578947368418}"
17,150.0,31.0,2010-07-20 22:07:02.073,"[31.0, 145.0, 7398.0, 98435.0, 229587.0]","{229587.0: 1.0, 145.0: 0.041666666666666664, 98435.0: 1.0, 7398.0: 0.25, 31.0: 0.076923076923076927}"
18,155.0,76.0,2010-07-20 22:34:58.367,"[76.0, 1089.0, 242.0, 130.0, 589.0]","{1089.0: 0.081632653061224483, 242.0: 0.013513513513513514, 76.0: 0.12903225806451613, 130.0: 0.080000000000000002, 589.0: 0.011461318051575931}"
19,154.0,122.0,2010-07-20 22:42:01.277,"[122.0, 51.0, 2263.0, 242.0, 317.0]","{317.0: 0.1111111111111111, 122.0: 0.23529411764705882, 51.0: 0.15384615384615385, 242.0: 0.013513513513513514, 2263.0: 0.36363636363636365}"
20,162.0,96.0,2010-07-20 22:47:54.220,"[96.0, 25.0, 622.0, 128.0, 1175.0]","{96.0: 0.078947368421052627, 25.0: 0.076923076923076927, 128.0: 0.23076923076923078, 622.0: 0.012048192771084338, 1175.0: 0.59999999999999998}"
21,164.0,76.0,2010-07-20 23:15:55.393,"[76.0, 207.0, 1069.0, 72.0, 59487.0]","{72.0: 0.027586206896551724, 59487.0: 0.056338028169014086, 76.0: 0.12903225806451613, 1069.0: 0.11764705882352941, 207.0: 0.40000000000000002}"
22,136.0,73.0,2010-07-20 23:27:10.833,"[73.0, 88.0, 21061.0, 45201.0, 65568.0]","{88.0: 0.33333333333333331, 73.0: 0.032258064516129031, 65568.0: 1.0, 21061.0: 1.0, 45201.0: 1.0}"
23,196.0,59.0,2010-07-21 01:34:37.700,"[59.0, 89.0, 13854.0, 51.0, 32948.0]","{89.0: 0.012500000000000001, 59.0: 0.125, 32948.0: 1.0, 13854.0: 0.0025000000000000001, 51.0: 0.038461538461538464}"
24,227.0,76.0,2010-07-21 01:37:29.953,"[76.0, 619.0, 1195.0, 26155.0, 128.0]","{128.0: 0.30769230769230771, 26155.0: 0.80000000000000004, 619.0: 0.035714285714285712, 76.0: 0.12903225806451613, 1195.0: 0.057971014492753624}"
25,206.0,8.0,2010-07-21 04:19:29.520,"[8.0, 114.0, 73.0, 9894.0, 164128.0]","{8.0: 0.042253521126760563, 73.0: 0.096774193548387094, 114.0: 0.21428571428571427, 9894.0: 0.66666666666666663, 164128.0: 0.33333333333333331}"
26,255.0,145.0,2010-07-21 05:13:12.447,"[145.0, 9754.0, 8.0, 7635.0, 752.0]","{8.0: 0.042253521126760563, 145.0: 0.125, 9754.0: 0.0099009900990099011, 7635.0: 0.14999999999999999, 752.0: 0.020833333333333332}"
27,6.0,97.0,2010-07-21 07:32:58.407,"[97.0, 16.0, 60733.0, 54292.0, 95740.0]","{16.0: 0.034482758620689655, 97.0: 0.5, 54292.0: 1.0, 60733.0: 1.0, 95740.0: 0.66666666666666663}"
28,287.0,56.0,2010-07-21 07:58:04.337,"[56.0, 54050.0, 205.0, 1770.0, 31.0]","{56.0: 0.071428571428571425, 1770.0: 0.33333333333333331, 54050.0: 0.038461538461538464, 205.0: 0.023076923076923078, 31.0: 0.23076923076923078}"
29,283.0,56.0,2010-07-21 08:02:01.160,"[56.0, 89.0, 35.0, 25554.0, 59304.0]","{56.0: 0.047619047619047616, 89.0: 0.025000000000000001, 25554.0: 0.0068493150684931503, 35.0: 0.076923076923076927, 59304.0: 0.0095693779904306216}"
30,307.0,123.0,2010-07-21 11:28:20.957,"[123.0, 242.0, 446.0, 89.0, 232608.0]","{232608.0: 0.66666666666666663, 89.0: 0.037499999999999999, 242.0: 0.010135135135135136, 123.0: 0.046875, 446.0: 0.20000000000000001}"
31,297.0,120.0,2010-07-21 12:46:15.347,"[120.0, 80.0, 1705.0, 121.0, 498.0]","{120.0: 0.09375, 80.0: 0.053571428571428568, 498.0: 0.013888888888888888, 121.0: 0.10714285714285714, 1705.0: 0.096774193548387094}"
32,309.0,9.0,2010-07-21 13:20:59.917,"[9.0, 3518.0, 7011.0, 221.0, 213860.0]","{9.0: 0.0088495575221238937, 7011.0: 0.026315789473684209, 213860.0: 1.0, 221.0: 0.0033003300330033004, 3518.0: 0.10000000000000001}"
33,350.0,96.0,2010-07-21 16:14:24.860,"[96.0, 172.0, 89.0, 91.0, 23974.0]","{96.0: 0.10526315789473684, 89.0: 0.050000000000000003, 91.0: 0.2857142857142857, 172.0: 0.14814814814814814, 23974.0: 0.75}"
34,368.0,173.0,2010-07-21 19:36:10.433,"[173.0, 136.0, 139.0, 1489.0, 14289.0]","{136.0: 0.072727272727272724, 1489.0: 0.050000000000000003, 139.0: 0.03125, 173.0: 0.030303030303030304, 14289.0: 0.5}"
35,375.0,9.0,2010-07-21 19:48:29.717,"[9.0, 26.0, 10557.0, 137324.0, 221345.0]","{9.0: 0.026548672566371681, 26.0: 0.14999999999999999, 137324.0: 0.66666666666666663, 10557.0: 0.375, 221345.0: 0.5}"
36,370.0,536.0,2010-07-21 20:18:39.363,"[536.0, 423.0, 16.0, 263.0, 85161.0]","{536.0: 0.035971223021582732, 16.0: 0.086206896551724144, 263.0: 0.1388888888888889, 85161.0: 0.83333333333333337, 423.0: 0.083333333333333329}"
37,398.0,8.0,2010-07-21 23:32:07.050,"[8.0, 96.0, 35.0, 180.0, 120.0]","{8.0: 0.028169014084507043, 96.0: 0.052631578947368418, 35.0: 0.076923076923076927, 180.0: 0.2857142857142857, 120.0: 0.0625}"
38,423.0,536.0,2010-07-22 02:26:47.253,"[536.0, 120.0, 187169.0, 48536.0, 242089.0]","{536.0: 0.014388489208633094, 120.0: 0.0625, 48536.0: 1.0, 242089.0: 1.0, 187169.0: 1.0}"
39,438.0,72.0,2010-07-22 04:11:45.640,"[72.0, 123.0, 272850.0, 39174.0, 78024.0]","{72.0: 0.027586206896551724, 78024.0: 0.028571428571428571, 272850.0: 0, 123.0: 0.0625, 39174.0: 0.0071942446043165471}"
40,440.0,536.0,2010-07-22 04:28:18.623,"[536.0, 106.0, 333414.0, 93935.0, 59778.0]","{536.0: 0.021582733812949641, 106.0: 0.29999999999999999, 59778.0: 0.66666666666666663, 333414.0: 0, 93935.0: 0.01935483870967742}"
41,381.0,114.0,2010-07-22 07:25:38.507,"[114.0, 334.0, 80.0, 536.0, 30.0]","{80.0: 0.071428571428571425, 536.0: 0.028776978417266189, 114.0: 0.2857142857142857, 30.0: 0.11764705882352941, 334.0: 0.078431372549019607}"
42,460.0,73.0,2010-07-22 10:16:54.910,"[73.0, 221.0, 100.0, 113641.0, 37490.0]","{73.0: 0.12903225806451613, 37490.0: 0.065573770491803282, 100.0: 0.10256410256410256, 221.0: 0.013201320132013201, 113641.0: 1.0}"
43,469.0,160.0,2010-07-22 12:11:48.120,"[160.0, 73.0, 106.0, 64686.0, 61122.0]","{160.0: 0.066666666666666666, 73.0: 0.064516129032258063, 106.0: 0.20000000000000001, 61122.0: 0.66666666666666663, 64686.0: 1.0}"
44,477.0,536.0,2010-07-22 12:19:00.337,"[536.0, 9003.0, 19588.0, 12042.0, 4154.0]","{536.0: 0.021582733812949641, 12042.0: 0.0062111801242236021, 9003.0: 0.0095846645367412137, 19588.0: 0.03125, 4154.0: 0.01171875}"
45,329.0,30.0,2010-07-22 13:20:23.173,"[30.0, 89.0, 16.0, 120.0, 4880.0]","{16.0: 0.068965517241379309, 89.0: 0.050000000000000003, 4880.0: 0.086956521739130432, 30.0: 0.11764705882352941, 120.0: 0.125}"
46,213.0,16.0,2010-07-22 14:45:31.017,"[16.0, 50.0, 6490.0, 629.0, 1010.0]","{16.0: 0.034482758620689655, 1010.0: 0.33333333333333331, 50.0: 0.090909090909090912, 6490.0: 0.028985507246376812, 629.0: 1.0}"
47,505.0,72.0,2010-07-22 17:06:50.840,"[72.0, 7530.0, 45.0, 37122.0, 1413.0]","{72.0: 0.013793103448275862, 7530.0: 0.0087336244541484712, 1413.0: 1.0, 45.0: 0.090909090909090912, 37122.0: 0.015151515151515152}"
48,544.0,143.0,2010-07-23 08:28:36.050,"[143.0, 89.0, 123.0, 496.0, 247.0]","{496.0: 0.2857142857142857, 89.0: 0.050000000000000003, 123.0: 0.0625, 247.0: 0.061538461538461542, 143.0: 1.0}"
49,530.0,536.0,2010-07-23 11:58:10.147,"[536.0, 589.0, 566.0, 742.0, 299.0]","{536.0: 0.014388489208633094, 742.0: 0.0064935064935064939, 299.0: 0.0080645161290322578, 589.0: 0.0057306590257879654, 566.0: 0.22222222222222221}"
50,519.0,152.0,2010-07-23 17:41:22.817,"[152.0, 8.0, 13147.0, 28514.0, 221.0]","{152.0: 0.023809523809523808, 8.0: 0.042253521126760563, 28514.0: 1.0, 13147.0: 0.017964071856287425, 221.0: 0.0099009900990099011}"
51,624.0,45.0,2010-07-24 03:34:46.620,"[45.0, 131267.0, 229322.0, 65573.0, 114703.0]","{114703.0: 0.5, 229322.0: 1.0, 131267.0: 1.0, 45.0: 0.090909090909090912, 65573.0: 0.5}"
52,603.0,72.0,2010-07-24 06:14:57.360,"[72.0, 60000.0, 89.0, 12425.0, 154425.0]","{72.0: 0.027586206896551724, 60000.0: 1.0, 154425.0: 0.75, 12425.0: 0.75, 89.0: 0.050000000000000003}"
53,623.0,73.0,2010-07-24 14:52:32.947,"[73.0, 152.0, 51070.0, 72.0, 210295.0]","{152.0: 0.0079365079365079361, 73.0: 0.032258064516129031, 210295.0: 0.017241379310344827, 51070.0: 1.0, 72.0: 0.0068965517241379309}"
54,656.0,51.0,2010-07-24 21:47:45.883,"[51.0, 72.0, 99.0, 89.0, 131350.0]","{72.0: 0.0068965517241379309, 99.0: 0.03125, 51.0: 0.038461538461538464, 131350.0: 1.0, 89.0: 0.012500000000000001}"
55,668.0,76.0,2010-07-25 02:25:45.523,"[76.0, 247.0, 5680.0, 10126.0, 251.0]","{5680.0: 0.33333333333333331, 251.0: 0.1111111111111111, 76.0: 0.096774193548387094, 10126.0: 0.1111111111111111, 247.0: 0.046153846153846156}"
56,671.0,173.0,2010-07-25 05:04:51.993,"[173.0, 129291.0, 123.0, 785.0, 32779.0]","{123.0: 0.015625, 785.0: 0.00390625, 129291.0: 1.0, 173.0: 0.007575757575757576, 32779.0: 1.0}"
