id	modularity_class
8	5
16	5
19	5
25	5
28	5
30	5
31	5
33	5
35	5
38	5
39	5
49	5
50	5
51	5
52	5
56	5
72	5
73	5
76	5
80	3
84	5
89	5
92	5
96	5
99	5
100	5
104	5
106	5
113	5
114	5
115	5
120	5
122	5
123	5
128	5
136	5
145	5
152	5
157	5
166	5
172	5
180	5
187	5
195	5
196	5
205	5
215	5
221	5
232	5
242	5
256	5
264	1
271	5
274	5
299	5
312	2
313	5
317	5
333	5
360	5
367	5
400	5
409	5
413	5
536	5
575	5
583	5
589	5
622	2
642	5
660	5
688	5
702	1
705	5
706	5
752	5
822	5
823	5
857	5
870	5
875	4
923	5
1069	5
1086	5
1154	5
1277	5
1295	5
1424	5
1457	5
1543	5
1650	1
1714	1
1828	5
1837	5
2048	5
2263	5
2370	5
2450	5
2538	1
2569	5
2612	5
2720	5
3036	5
3041	5
3195	5
3212	5
3467	5
3547	30
3783	5
4058	5
4253	9
4314	5
4603	5
4880	5
4934	5
5189	5
5203	1
5211	5
5952	5
6490	5
6509	1
7012	5
7635	5
7676	1
7933	1
8269	1
8297	1
8508	0
9003	1
9754	5
10513	1
11258	1
11667	3
11998	2
12507	1
12642	5
12715	5
12802	5
12952	1
13147	1
14972	1
16467	1
16497	1
16500	5
17556	5
17751	1
18432	5
18880	1
19379	1
19603	1
20321	1
21855	2
23350	1
23983	5
26944	5
28514	5
29507	3
29672	1
29966	1
29976	5
30953	1
32016	1
32940	2
37122	1
37293	5
38779	5
39174	1
39492	5
39599	3
39722	1
39930	5
40108	1
41434	1
42912	8
43179	1
45296	1
48510	1
52394	5
53268	1
55074	5
58529	2
60810	1
62839	1
66585	5
72030	5
75450	5
83966	3
84164	3
84942	1
85039	3
86013	5
88497	5
90313	4
92415	3
96577	3
98199	3
104171	3
114917	5
117203	5
128641	2
144542	5
149436	3
152568	3
159661	3
175024	5
198697	3
203547	3
221272	5
37	5
66	5
86	5
165	5
177	5
198	5
249	5
263	5
512	5
1770	5
2199	1
5105	5
11619	1
12165	5
34262	5
53008	5
54050	1
59304	1
146393	3
165855	5
170039	3
174221	1
190287	5
200622	5
825	1
3148	5
6179	30
6312	1
12042	1
20413	1
147810	3
54	5
79	5
97	5
105	5
4284	5
17349	5
74105	5
176	5
233	5
297	5
331	5
448	5
630	5
699	5
1175	5
1312	5
3163	30
4280	3
4414	5
5959	5
8512	4
9176	1
10927	5
11753	1
12151	5
13130	1
14120	1
14890	1
14932	1
22437	1
25554	2
30711	4
83827	1
119110	5
150001	4
159653	5
237596	5
237900	5
121	5
160	5
171	5
173	5
191	5
219	5
247	5
251	5
272	5
295	5
314	5
327	5
423	5
467	5
498	5
505	5
586	5
666	5
774	5
917	5
930	5
1369	5
1585	5
2317	5
2344	5
3305	5
7011	5
7681	5
9901	5
9921	5
10657	5
11260	9
15500	3
17976	1
31475	4
85161	5
87543	3
105963	5
123641	30
141912	5
160823	12
170600	5
152976	3
153899	3
154237	3
155436	2
155509	3
157927	3
159761	3
160775	3
165000	3
166201	3
166967	3
169605	3
169838	3
219577	3
233789	3
34	5
144	5
226	5
227	5
346	5
506	5
619	5
832	5
851	5
1195	5
1417	5
1919	5
2109	5
4057	5
4743	5
5191	5
6582	5
10689	5
11847	5
16339	5
17142	1
28900	1
33337	3
34267	5
34869	1
36580	4
52488	1
74222	5
80097	1
80863	5
45	5
67	5
82	5
129	5
207	5
209	5
211	5
298	5
334	5
441	3
442	5
446	5
496	5
763	5
785	5
871	5
873	5
876	5
956	5
1035	5
1101	5
1102	5
1630	5
1702	5
1827	12
2032	5
2254	5
2548	5
2947	5
3018	5
3567	5
3787	3
4706	5
4726	5
6460	5
6678	5
6982	5
7162	5
9968	5
10704	1
11675	5
12523	1
13528	5
13618	5
13854	1
18321	1
19331	1
28869	1
29949	5
31917	1
32967	8
34930	1
52942	5
53846	1
59487	1
62704	5
75092	1
75333	5
78451	2
85343	3
86570	3
103004	5
123106	5
127032	5
159352	5
171303	5
91	5
130	5
139	5
163	2
167	5
208	5
210	5
220	5
229	5
273	5
275	5
308	5
354	5
434	5
439	5
462	1
541	5
633	5
640	5
664	5
677	2
722	5
723	5
728	5
742	5
757	5
766	5
796	5
820	2
831	5
856	5
899	5
900	5
940	5
943	5
954	5
964	5
998	5
1016	5
1028	5
1099	5
1120	5
1151	5
1242	5
1269	5
1284	5
1301	5
1303	4
1310	5
1313	5
1409	5
1415	5
1421	5
1432	4
1461	5
1489	5
1505	3
1508	5
1523	5
1562	5
1583	5
1726	5
1747	5
1769	5
1796	5
1818	5
1865	5
1906	5
1930	1
1995	5
2029	5
2215	5
2236	3
2320	5
2323	5
2465	5
2499	3
2513	1
2546	5
2563	5
2641	5
2660	5
2743	5
2757	1
2778	5
2839	5
2900	5
2906	3
2937	5
2954	5
3035	1
3060	5
3111	5
3123	5
3217	1
3249	5
3301	5
3374	5
3407	5
3421	5
3431	5
3515	5
3595	5
3638	5
3731	5
3736	1
3791	5
3936	5
3964	4
4154	1
4241	5
4290	5
4728	5
4781	2
4873	5
4992	5
5001	5
5226	5
5344	5
5363	5
5422	5
5476	2
5546	2
5676	5
5703	5
5904	5
5966	5
5971	5
6034	5
6075	5
6215	5
6243	5
6272	5
6296	5
6455	5
6599	12
6608	2
6622	1
6925	5
7201	5
7266	5
7327	5
7476	5
7530	1
7845	5
7850	1
7862	5
8050	5
8071	5
8271	1
8309	5
8327	5
8473	1
8476	5
8496	5
8510	5
8536	5
8671	5
9260	5
9390	5
9450	5
9502	5
9515	1
9516	5
9666	5
9814	5
9996	5
10415	5
10426	5
10537	5
10572	5
10651	12
10921	5
11210	5
11336	5
11382	5
11763	1
11781	5
11783	5
11888	1
11955	5
11976	5
12044	5
12084	1
12276	5
12291	1
12353	5
12506	4
12592	5
12601	5
12611	5
12616	5
12617	5
12619	5
12630	5
13077	5
13079	3
13120	5
13181	1
13285	5
13425	5
13467	1
13981	5
14366	13
14808	5
14911	5
15195	5
15382	0
15660	1
15941	1
16423	5
16873	1
17589	5
18039	5
18076	5
18240	1
18769	5
18908	13
18986	1
19352	2
19440	1
19977	1
20333	5
20762	1
20778	5
21413	5
21459	5
21569	5
21689	5
21723	5
21783	1
22064	1
22446	1
22521	5
22910	5
22940	1
23059	5
23084	5
23174	1
23324	5
24269	1
24942	1
25381	1
25533	1
25632	1
25654	1
25749	1
26188	2
26498	1
26564	5
26951	1
27163	1
27187	1
27609	5
27624	1
27958	1
27978	1
28056	1
29038	1
29335	1
29706	1
29980	2
30229	5
30437	5
30463	5
30674	2
30734	5
31097	5
31167	1
31254	1
31264	1
31428	1
31778	5
32285	5
33066	5
35001	1
35416	12
35878	1
37021	2
37301	5
