QuestionId,AcceptedAnswerUserId,AnswerCreationDate,UsersSorted,UsersJaccard
1.0,13.0,2010-11-02 19:15:20.813,"[13.0, 20.0, 7743.0, 11517.0, 55515.0]","{11517.0: 1.0, 20.0: 0.088888888888888892, 13.0: 0.050632911392405063, 55515.0: 0.80000000000000004, 7743.0: 0.085106382978723402}"
17.0,42.0,2010-11-02 20:09:04.537,"[42.0, 843.0, 7786.0, 9344.0, 13016.0]","{9344.0: 0.80000000000000004, 13016.0: 0.59999999999999998, 42.0: 0.0625, 843.0: 1.0, 7786.0: 0.090909090909090912}"
27.0,42.0,2010-11-02 20:21:45.097,"[42.0, 78.0, 141.0, 6432.0, 4552.0]","{6432.0: 0.025157232704402517, 4552.0: 0.011869436201780416, 42.0: 0.050000000000000003, 141.0: 0.5, 78.0: 0.038461538461538464}"
29.0,56.0,2010-11-02 20:25:31.397,"[56.0, 48.0, 74.0, 28.0, 8450.0]","{56.0: 0.074999999999999997, 48.0: 0.27272727272727271, 74.0: 0.01282051282051282, 28.0: 0.081081081081081086, 8450.0: 1.0}"
35.0,68.0,2010-11-02 20:39:35.933,"[68.0, 82.0, 47.0, 78762.0, 70640.0]","{70640.0: 0.5, 82.0: 0.04878048780487805, 68.0: 0.03669724770642202, 78762.0: 0.66666666666666663, 47.0: 0.060606060606060608}"
31.0,79.0,2010-11-02 20:51:29.503,"[79.0, 74.0, 1345.0, 5184.0, 28807.0]","{5184.0: 0.5, 1345.0: 0.023809523809523808, 74.0: 0.0085470085470085479, 28807.0: 0.5, 79.0: 1.0}"
7.0,78.0,2010-11-02 20:54:20.337,"[78.0, 11205.0, 97.0, 47.0, 82.0]","{97.0: 0.037735849056603772, 82.0: 0.04878048780487805, 11205.0: 0.21052631578947367, 78.0: 0.038461538461538464, 47.0: 0.060606060606060608}"
15.0,82.0,2010-11-02 21:08:57.003,"[82.0, 1236.0, 1403.0, 1350.0, 1341.0]","{82.0: 0.024390243902439025, 1403.0: 0.1111111111111111, 1236.0: 0.003663003663003663, 1341.0: 0.010869565217391304, 1350.0: 0.095238095238095233}"
62.0,82.0,2010-11-02 22:23:43.287,"[82.0, 29.0, 13.0, 100.0, 1610.0]","{82.0: 0.024390243902439025, 100.0: 0.050000000000000003, 29.0: 0.018691588785046728, 1610.0: 0.66666666666666663, 13.0: 0.025316455696202531}"
78.0,29.0,2010-11-02 22:50:07.817,"[29.0, 353.0, 40.0, 97.0, 1186.0]","{40.0: 0.66666666666666663, 353.0: 0.023255813953488372, 1186.0: 0.027210884353741496, 29.0: 0.037383177570093455, 97.0: 0.037735849056603772}"
68.0,97.0,2010-11-02 22:50:57.147,"[97.0, 15.0, 78.0, 20079.0, 65955.0]","{97.0: 0.028301886792452831, 20079.0: 0.66666666666666663, 65955.0: 0.5, 78.0: 0.028846153846153848, 15.0: 0.16666666666666666}"
89.0,20.0,2010-11-03 01:14:56.533,"[20.0, 329.0, 66.0, 6432.0, 68429.0]","{6432.0: 0.018867924528301886, 329.0: 0.015873015873015872, 66.0: 0.022556390977443608, 20.0: 0.066666666666666666, 68429.0: 1.0}"
111.0,29.0,2010-11-03 01:56:44.590,"[29.0, 42.0, 133.0, 78.0, 90893.0]","{42.0: 0.050000000000000003, 90893.0: 0, 29.0: 0.037383177570093455, 78.0: 0.038461538461538464, 133.0: 0.21052631578947367}"
93.0,124.0,2010-11-03 05:35:51.833,"[124.0, 82.0, 19.0, 13.0, 73077.0]","{82.0: 0.06097560975609756, 19.0: 0.052631578947368418, 124.0: 0.013333333333333334, 13.0: 0.063291139240506333, 73077.0: 0.59999999999999998}"
122.0,124.0,2010-11-03 07:09:33.360,"[124.0, 50583.0, 7924.0, 4864.0, 41551.0]","{4864.0: 0.010395010395010396, 7924.0: 0.017730496453900711, 41551.0: 0.5, 124.0: 0.013333333333333334, 50583.0: 0.016835016835016835}"
102.0,66.0,2010-11-03 07:18:32.080,"[66.0, 116.0, 29.0, 82.0, 6432.0]","{6432.0: 0.031446540880503145, 66.0: 0.037593984962406013, 82.0: 0.06097560975609756, 116.0: 1.0, 29.0: 0.046728971962616821}"
147.0,82.0,2010-11-03 14:11:11.810,"[82.0, 386.0, 1272.0, 353.0, 10234.0]","{1272.0: 0.0087336244541484712, 353.0: 0.011627906976744186, 82.0: 0.024390243902439025, 386.0: 0.010256410256410256, 10234.0: 1.0}"
142.0,42.0,2010-11-03 15:01:02.880,"[42.0, 6901.0, 1013.0, 4864.0, 29651.0]","{4864.0: 0.0062370062370062374, 42.0: 0.037499999999999999, 29651.0: 0.40000000000000002, 6901.0: 1.0, 1013.0: 0.25}"
173.0,13.0,2010-11-03 20:57:39.023,"[13.0, 66.0, 48.0, 38625.0, 38641.0]","{48.0: 0.18181818181818182, 38625.0: 1.0, 66.0: 0.015037593984962405, 13.0: 0.025316455696202531, 38641.0: 1.0}"
168.0,59.0,2010-11-03 21:29:10.653,"[59.0, 72366.0, 60897.0, 50150.0, 41035.0]","{60897.0: 0.66666666666666663, 41035.0: 0.66666666666666663, 59.0: 0.041666666666666664, 50150.0: 0.66666666666666663, 72366.0: 1.0}"
185.0,124.0,2010-11-04 05:16:32.427,"[124.0, 19.0, 13.0, 1492.0, 7777.0]","{1492.0: 0.008368200836820083, 19.0: 0.042105263157894736, 124.0: 0.010666666666666666, 13.0: 0.050632911392405063, 7777.0: 0.75}"
197.0,97.0,2010-11-04 06:49:45.187,"[97.0, 124.0, 78.0, 1390.0, 1352.0]","{1352.0: 0.013636363636363636, 97.0: 0.028301886792452831, 124.0: 0.0080000000000000002, 1390.0: 0.010676156583629894, 78.0: 0.028846153846153848}"
202.0,74.0,2010-11-04 07:34:39.140,"[74.0, 107.0, 29.0, 78.0, 28.0]","{74.0: 0.01282051282051282, 107.0: 0.051724137931034482, 28.0: 0.081081081081081086, 29.0: 0.028037383177570093, 78.0: 0.028846153846153848}"
208.0,74.0,2010-11-04 10:37:01.557,"[74.0, 68.0, 383.0, 86.0, 392.0]","{392.0: 0.025773195876288658, 74.0: 0.021367521367521368, 68.0: 0.045871559633027525, 86.0: 0.625, 383.0: 0.070422535211267609}"
94.0,15.0,2010-11-04 20:18:46.267,"[15.0, 7786.0, 62.0, 29679.0, 31440.0]","{31440.0: 0.59999999999999998, 7786.0: 0.072727272727272724, 29679.0: 0.75, 62.0: 0.14814814814814814, 15.0: 0.22222222222222221}"
160.0,29.0,2010-11-04 22:21:28.517,"[29.0, 155.0, 71.0, 126.0, 66.0]","{66.0: 0.03007518796992481, 155.0: 1.0, 29.0: 0.037383177570093455, 126.0: 0.046511627906976744, 71.0: 0.11428571428571428}"
236.0,124.0,2010-11-04 22:30:19.533,"[124.0, 59.0, 82.0, 9563.0, 166.0]","{82.0: 0.012195121951219513, 59.0: 0.020833333333333332, 124.0: 0.0026666666666666666, 9563.0: 1.0, 166.0: 0.011904761904761904}"
239.0,15.0,2010-11-04 22:59:21.527,"[15.0, 126.0, 13.0, 82.0, 124.0]","{82.0: 0.012195121951219513, 124.0: 0.0026666666666666666, 13.0: 0.012658227848101266, 126.0: 0.011627906976744186, 15.0: 0.055555555555555552}"
237.0,121.0,2010-11-04 23:31:22.353,"[121.0, 126.0, 869.0, 1924.0, 79547.0]","{121.0: 0.27272727272727271, 79547.0: 0.5, 1924.0: 0.03614457831325301, 869.0: 0.033333333333333333, 126.0: 0.034883720930232558}"
252.0,163.0,2010-11-05 05:05:42.753,"[163.0, 68.0, 97.0, 670.0, 17344.0]","{17344.0: 0.66666666666666663, 97.0: 0.028301886792452831, 163.0: 0.038461538461538464, 68.0: 0.027522935779816515, 670.0: 0.053571428571428568}"
286.0,74.0,2010-11-06 05:51:44.660,"[74.0, 124.0, 19.0, 23119.0, 392.0]","{392.0: 0.025773195876288658, 74.0: 0.021367521367521368, 19.0: 0.052631578947368418, 124.0: 0.013333333333333334, 23119.0: 0.034013605442176874}"
